ID,Department Name,Parent Department/External ID
100000,Employment and Social Development Canada,
100000-101078,COO Service Canada,100000
100000-101078-103632,Western Region,100000-101078
100000-101078-103632-100418,"CSB, Western &Territories",100000-101078-103632
100000-101078-103632-100418-101339,CS (W-T)/Central Alberta,100000-101078-103632-100418
100000-101078-103632-100418-101339-102125,CS (W-T)/Central Alberta,100000-101078-103632-100418-101339
100000-101078-103632-100418-101339-102125-100409,CSB/CAB/MedHatSCC,100000-101078-103632-100418-101339-102125
100000-101078-103632-100418-101339-102125-100425,In person Client Service,100000-101078-103632-100418-101339-102125
100000-101078-103632-100418-100420,CS (W-T)/SAEK,100000-101078-103632-100418
100000-101078-103632-100418-100420-101349,CS (W-T)/SAEK/South,100000-101078-103632-100418-100420
100000-101078-103632-100418-100420-101349-100423,CSB/SAEK/Calgary/CentreSCC,100000-101078-103632-100418-100420-101349
100000-101078-103632-100418-100420-101349-101961,CSB/SAEK/Calgary/CentrePPT/D,100000-101078-103632-100418-100420-101349
100000-101078-103632-100418-100420-101349-101959,CSB/SAEK/Calgary/CentrePPT/B,100000-101078-103632-100418-100420-101349
100000-101078-103632-100418-100420-101349-101958,CSB/SAEK/Calgary/CentrePPT/A,100000-101078-103632-100418-100420-101349
100000-101078-103632-100418-100420-101349-100424,CSB/SAEK/Calgary/SouthSCC,100000-101078-103632-100418-100420-101349
100000-101078-103632-100418-100420-101349-101964,CSB/SAEK/Calgary/SouthPPT/B,100000-101078-103632-100418-100420-101349
100000-101078-103632-100418-100420-101349-101963,CSB/SAEK/Calgary/Sout,100000-101078-103632-100418-100420-101349
100000-101078-103632-100418-100420-101515,CS (W-T)/Southern Alberta and,100000-101078-103632-100418-100420
100000-101078-103632-100418-100420-101515-100517,CSB/SAEK/Leth/CranbrookSCC,100000-101078-103632-100418-100420-101515
100000-101078-103632-100418-100420-101515-100410,CSB/SAEK/Calgary/EastSCC,100000-101078-103632-100418-100420-101515
100000-101078-103632-100418-100420-100378,CS (W-T)/SAEK/North,100000-101078-103632-100418-100420
100000-101078-103632-100418-100420-100378-100407,CSB/SAEK/Calgary/RoyalVistaSCC,100000-101078-103632-100418-100420-100378
100000-101078-103632-100418-100420-100378-100376,CSB/SAEK/Leth/LethbridgeSCC,100000-101078-103632-100418-100420-100378
100000-101078-103632-100418-100467,CS (W-T)-Business Expertise,100000-101078-103632-100418
100000-101078-103632-100418-100467-100436,CS (W-T)/BE/PE/Senior Manager,100000-101078-103632-100418-100467
100000-101078-103632-100418-100467-100436-105861,CSB/BE/PE/CS2,100000-101078-103632-100418-100467-100436
100000-101078-103632-100418-100467-100436-102128,CSB/BE/PE/CS1,100000-101078-103632-100418-100467-100436
100000-101078-103632-100418-100467-100491,CS (W-T)/BE/PE/PPT Senior Mgr,100000-101078-103632-100418-100467
100000-101078-103632-100418-100467-100491-104811,CSB/BE/Passports,100000-101078-103632-100418-100467-100491
100000-101078-103632-100418-100467-100461,CS (W-T)/BE/PM/ Senior Manager,100000-101078-103632-100418-100467
100000-101078-103632-100418-100377,CS (W-T)/NAPC,100000-101078-103632-100418
100000-101078-103632-100418-100377-100381,CSB/ NAPC/ West/ RU,100000-101078-103632-100418-100377
100000-101078-103632-100418-100377-100381-100414,CSB/SCC/Camrose,100000-101078-103632-100418-100377-100381
100000-101078-103632-100418-100377-100381-100416,CSB/SCC/FT McMurray,100000-101078-103632-100418-100377-100381
100000-101078-103632-100418-100377-100381-100415,CSB/SCC/St Paul,100000-101078-103632-100418-100377-100381
100000-101078-103632-100418-100377-100382,CSB (W-T)/NAPC/East,100000-101078-103632-100418-100377
100000-101078-103632-100418-100377-100382-100398,CSB/NAPC/East/SlaveLakeSCC,100000-101078-103632-100418-100377-100382
100000-101078-103632-100418-100377-100382-100426,CSB/NAPC/West/GrPrairieSCC,100000-101078-103632-100418-100377-100382
100000-101078-103632-100418-101338,CS (W-T)/Edmonton,100000-101078-103632-100418
100000-101078-103632-100418-101338-102127,CS (W-T)/Edmonton- Central,100000-101078-103632-100418-101338
100000-101078-103632-100418-101338-102127-100400,CSB/Edm/CanadaPlaceSCC,100000-101078-103632-100418-101338-102127
100000-101078-103632-100418-101338-102127-105449,Edmonton Passports,100000-101078-103632-100418-101338-102127
100000-101078-103632-100418-101338-102127-101840,CSB/PPT/Edm/C,100000-101078-103632-100418-101338-102127
100000-101078-103632-100418-101338-101347,CS (W-T)/Edmonton-  North,100000-101078-103632-100418-101338
100000-101078-103632-100418-101338-101347-100399,CSB/Edm/NorthGateSCC,100000-101078-103632-100418-101338-101347
100000-101078-103632-100418-101338-101347-100413,CSB/SCC/Millbourne,100000-101078-103632-100418-101338-101347
100000-101078-103632-100418-101338-101347-100422,CSB/Edm/MeadowlarkSCC,100000-101078-103632-100418-101338-101347
100000-101078-103632-100418-100325,CS (W-T)-Business Expertise-Tr,100000-101078-103632-100418
100000-101078-103632-100418-101375,CS (W-T)/LME,100000-101078-103632-100418
100000-101078-103632-100418-101375-101536,CS (W-T)/LME/South,100000-101078-103632-100418-101375
100000-101078-103632-100418-101375-101536-105227,Citizen Services Branch/A,100000-101078-103632-100418-101375-101536
100000-101078-103632-100418-101375-101536-100503,CSB/LME/AbtsfrdBSCC,100000-101078-103632-100418-101375-101536
100000-101078-103632-100418-101375-101536-100502,CSB/LME/LangleySCC,100000-101078-103632-100418-101375-101536
100000-101078-103632-100418-101375-101536-100501,CSB/LME/SurreySSCC,100000-101078-103632-100418-101375-101536
100000-101078-103632-100418-101375-104238,CS (W-T)/LME/North,100000-101078-103632-100418-101375
100000-101078-103632-100418-101375-104238-100504,CSB/LME/ChllwckSCC,100000-101078-103632-100418-101375-104238
100000-101078-103632-100418-101375-104238-102148,CSB/LME/CoquitlamASCC,100000-101078-103632-100418-101375-104238
100000-101078-103632-100418-101375-104238-100500,CSB/LME/RidgeMdwsSCC,100000-101078-103632-100418-101375-104238
100000-101078-103632-100418-101375-104238-102149,CSB/LME/SurreyNSCC,100000-101078-103632-100418-101375-104238
100000-101078-103632-100418-101375-101380,CSB (W-T)/LME/Passport,100000-101078-103632-100418-101375
100000-101078-103632-100418-101375-101380-101954,CSB/PPT/Surrey/E,100000-101078-103632-100418-101375-101380
100000-101078-103632-100418-101375-101380-101952,CSB/PPT/Surrey/C,100000-101078-103632-100418-101375-101380
