ID,Name,level_progress
0---executive-or-emerge-level-1,1,100
1---employment-insuranc-level-1,1,100
10---work-sharing-(ei)-level-1,1,100
11---grants-and-contrib-level-1,1,100
12---temporary-foreign--level-1,1,100
13---enabling-services-level-1,1,100
13---enabling-services--level-1,1,100
2---canada-pension-plan-level-1,1,100
3---social-insurance-nu-level-1,1,100
4---service-canada-cent-level-1,1,100
5---general-enquiry-ser-level-1,1,100
6---principal-publisher-level-1,1,100
7---canada-student-loan-level-1,1,100
8---passport-services-(-level-1,1,100
9---occupational-health-level-1,1,100
