ID,name,skill_ids/id,skill_level_ids/id
0---executive-or-emergency-management,0 - Executive or Emergency Management,e-o-e-m-other,0---executive-or-emerge-level-1
,,e-o-e-m-ei:e-s-c-c,
,,e-o-e-m-isb:n-a-r-e-o-c,
,,e-o-e-m-tpfw:g-t-r-o-i-i,
,,e-o-e-m-policy:s-f-c-r-p,
,,e-o-e-m-iitb:a-s,
,,e-o-e-m-cslp:r-s-i-s-a-a-c-c,
,,e-o-e-m-sin:n-s-f-e,
,,e-o-e-m-sst:o,
,,e-o-e-m-ei:u-r-w-s-p,
,,e-o-e-m-ei:n-c,
,,e-o-e-m-reoc:e-m,
,,e-o-e-m-cpp:c,
,,e-o-e-m-outreach,
,,e-o-e-m-isb:p-s,
,,e-o-e-m-canada.ca:p-s,
1---employment-insurance-(ei),1 - Employment Insurance (EI),e-i-ei:e-s-c-c,1---employment-insuranc-level-1
,,e-i-cpp:c,
,,e-i-ei:n-c,
,,e-i-policy:a-s-f-r-h,
,,e-i-iitb:a-s,
,,e-i-policy:s-f-c-r-p,
,,e-i-policy:s-f-i-i-o-a-g-b,
,,e-i-sin:c-o-s-f-e,
,,e-i-other,
,,e-i-policy:s-f-c-o-c-t-f,
,,e-i-scc-ps-outreach:a-e-f-c-s,
10---work-sharing-(ei),10 - Work Sharing (EI),w-s-ei:e-s-c-c,10---work-sharing-(ei)-level-1
,,w-s-ei:n-c,
,,w-s-o,
11---grants-and-contributions-(gs&cs),11 - Grants and Contributions (Gs&Cs),g-a-c-ei:e-s-c-c,11---grants-and-contrib-level-1
,,g-a-c-iitb:a-s,
,,g-a-c-gs&cs:p,
,,g-a-c-policy:s-n-m,
,,g-a-c-o,
12---temporary-foreign-worker-program-(tfwp),12 - Temporary Foreign Worker Program (TFWP),t-f-w-p-ei:e-s-c-c,12---temporary-foreign--level-1
,,t-f-w-p-iitb:a-s,
,,t-f-w-p-policy:s-f-c-r-p,
,,t-f-w-p-tpfw:t-l-p,
,,t-f-w-p-tpfw:g-t-r-o-i-i,
,,t-f-w-p-o,
13---enabling-services,13 - Enabling Services,e-s-isb:p-s,13---enabling-services-level-1
,,e-s-cfob:p-a-p-s-p-p,
,,e-s-cfob:e-f-s,
,,e-s-sst:o,
,,e-s-cfob:a-t-f-b-a-c-f-m-p-f-m-s,
,,e-s-cfob:m-p-p,
,,e-s-iitb:a-s,
,,e-s-isb:p-s-1,
,,e-s-cfob:p-o,
,,e-s-policy:s-n-m,
,,e-s-other,
,,e-s-isb:n-a-r-e-o-c,
,,e-s-sin:n-s-f-e,
,,e-s-sst:c-c,
,,e-s-cslp:r-s-i-s-a-a-c-c,
"13---enabling-services-(iitb,-pasrb,-hrsb,-cfob-and-isb)","13 - Enabling Services (IITB, PASRB, HRSB, CFOB and ISB)",e-s-p-h-c-a-i-ei:e-s-c-c,13---enabling-services--level-1
,,e-s-p-h-c-a-i-policy:s-f-c-r-p,
,,e-s-p-h-c-a-i-cpp:c,
,,e-s-p-h-c-a-i-policy:a-s-f-r-h,
,,e-s-p-h-c-a-i-policy:s-f-i-i-o-a-g-b,
,,e-s-p-h-c-a-i-policy:s-f-c-o-c-t-f,
,,e-s-p-h-c-a-i-policy:p-s-f-e-m-i-t-w-l,
,,e-s-p-h-c-a-i-reoc:e-m,
,,e-s-p-h-c-a-i-works-p-a,
,,e-s-p-h-c-a-i-ei:r,
,,e-s-p-h-c-a-i-o,
2---canada-pension-plan-(cpp)-benefits,2 - Canada Pension Plan (CPP) Benefits,c-p-p-b-cpp:c,2---canada-pension-plan-level-1
,,c-p-p-b-iitb:a-s,
,,c-p-p-b-ei:e-s-c-c,
,,c-p-p-b-oas:p-s-c-c,
,,c-p-p-b-o,
3---social-insurance-number-(sin),3 - Social Insurance Number (SIN),s-i-n-sin:n-s-f-e,3---social-insurance-nu-level-1
,,s-i-n-sin:c-o-s-f-e,
,,s-i-n-ei:e-s-c-c,
,,s-i-n-iitb:a-s,
,,s-i-n-o,
4---service-canada-centers-and-outreach,4 - Service Canada Centers and Outreach,s-c-c-a-o-other,4---service-canada-cent-level-1
,,s-c-c-a-o-scc-ps-outreach:a-e-f-c-s,
,,s-c-c-a-o-ei:e-s-c-c,
,,s-c-c-a-o-iitb:a-s,
,,s-c-c-a-o-policy:j-b-p-s-f-c-e-t-c-c,
,,s-c-c-a-o-1800:o,
,,s-c-c-a-o-canada.ca:s-m-a-m,
5---general-enquiry-service-(1-800-o-canada-and-cis),5 - General Enquiry Service (1-800-O-Canada and CIS),g-e-s-a-c-ei:e-s-c-c,5---general-enquiry-ser-level-1
,,g-e-s-a-c-1800:o,
,,g-e-s-a-c-o,
6---principal-publisher-service-(and-external-communications),6 - Principal Publisher Service (and external communications),p-p-s-e-c-canada.ca:p-s,6---principal-publisher-level-1
,,p-p-s-e-c-other,
,,p-p-s-e-c-canada.ca:s-m-a-m,
,,p-p-s-e-c-1800:c-e-e-t-t-s,
7---canada-student-loans-program:-national-student-loans-service-centre,7 - Canada Student Loans Program: National Student Loans Service Centre,c-s-l-p-n-s-l-s-c-policy:s-f-c-r-p,7---canada-student-loan-level-1
,,c-s-l-p-n-s-l-s-c-cslp:r-s-i-s-a-a-c-c,
,,c-s-l-p-n-s-l-s-c-iitb:a-s,
,,c-s-l-p-n-s-l-s-c-o,
8---passport-services-(urgent-passport-only),8 - Passport Services (urgent passport only),p-s-p-o-other,8---passport-services-(-level-1
9---occupational-health-and-safety-(ohs)-(labour-program---federally-regulated-workplaces),9 - Occupational Health and Safety (OHS) (Labour Program - Federally Regulated Workplaces),o-h-a-s-p-f-r-w-labour:a-a-g,9---occupational-health-level-1
,,o-h-a-s-p-f-r-w-labour:r-t-w-a,
,,o-h-a-s-p-f-r-w-labour:c-p-t-b,
,,o-h-a-s-p-f-r-w-o,
,,o-h-a-s-p-f-r-w-labour:h-o-i,
,,o-h-a-s-p-f-r-w-labour:g-t-w-r,
,,o-h-a-s-p-f-r-w-labour:f-m-a-c,
,,o-h-a-s-p-f-r-w-labour:w-f-l,
,,o-h-a-s-p-f-r-w-reoc:e-m,
,,o-h-a-s-p-f-r-w-labour:g-e-i-v-a-h,
,,o-h-a-s-p-f-r-w-labour:c-u-d,
,,o-h-a-s-p-f-r-w-labour:c-s-a,
