ID,Department Name,Parent Department/External ID
employment_and_social_development_canada,Employment and Social Development Canada,
associate_deputy_minister_of_employment_and_social_development,Associate Deputy Minister of Employment and Social Development,employment_and_social_development_canada
corporate_secretariat,Corporate Secretariat,associate_deputy_minister_of_employment_and_social_development
access_to_information_and_privacy_operations,Access to Information and Privacy Operations,corporate_secretariat
intake_unit,Intake Unit,access_to_information_and_privacy_operations
atip_div_f,ATIP Div F,intake_unit
atip,ATIP,intake_unit
business_management_and_executive_committees,Business Management and Executive Committees,corporate_secretariat
business_management_services,Business Management Services,business_management_and_executive_committees
bus_mngt__ex_ctees_1,Bus Mngt & Ex Ctees 1,business_management_services
executive_committees,Executive Committees,business_management_and_executive_committees
bus_mngt_serv-a,Bus Mngt Serv-A,executive_committees
bus_mngt__ex_ctees_4,Bus Mngt & Ex Ctees 4,business_management_and_executive_committees
corporate_secretariat_office,Corporate Secretariat Office,corporate_secretariat
ministerial_services,Ministerial Services,corporate_secretariat
ministerial_and_executive_correspondence,Ministerial and Executive Correspondence,ministerial_services
ministerial__exec_corres_(3),Ministerial & Exec Corres (3),ministerial_and_executive_correspondence
ministerial_svcs_div_4,Ministerial Svcs Div 4,ministerial__exec_corres_(3)
ministerial_svcs_div_5,Ministerial Svcs Div 5,ministerial__exec_corres_(3)
ministerial_svcs_div_10,Ministerial Svcs Div 10,ministerial__exec_corres_(3)
parliamentary_affairs,Parliamentary Affairs,corporate_secretariat
legislation_and_committees,Legislation and Committees,parliamentary_affairs
privacy_management,Privacy Management,corporate_secretariat
incident_management_and_legislative_disclosures,Incident Management and Legislative Disclosures,privacy_management
senior_public_rights_administr,Senior Public Rights Administr,incident_management_and_legislative_disclosures
privacy_compliance_review_unit,Privacy Compliance Review Unit,privacy_management
privacy_mngt_div_1,Privacy Mngt Div 1,privacy_management
privacy_compliance_rev_unit-a,Privacy Compliance Rev Unit-A,privacy_mngt_div_1
privacy_compliance_rev_unit-b,Privacy Compliance Rev Unit-B,privacy_mngt_div_1
privacy_mngt_div,Privacy Mngt Div,privacy_mngt_div_1
senior_policy_analyst,Senior Policy Analyst,privacy_management
strategic_planning_unit,Strategic Planning Unit,privacy_management
policy_planning_and_coordination_c,"Policy, Planning and Coordination C",privacy_management
commissioner_for_employers,Commissioner for Employers,employment_and_social_development_canada
commissioner_for_workers,Commissioner for Workers,employment_and_social_development_canada
deputy_minister_of_employment_and_social_development,Deputy Minister of Employment and Social Development,employment_and_social_development_canada
chief_financial_officer_branch,Chief Financial Officer Branch,deputy_minister_of_employment_and_social_development
business_management_services,Business Management Services,chief_financial_officer_branch
branch_management_services-c,Branch Management Services-C,business_management_services
branch_management_service_j,Branch Management Service J,branch_management_services-c
branch_management_services-it,Branch Management Services-IT,branch_management_services-c
branch_management_services-m,Branch Management Services-M,branch_management_services-c
branch_management_services-f,Branch Management Services-F,business_management_services
branch_management_services-g,Branch Management Services-G,branch_management_services-f
